MLA-C01 • DOMAIN 2,DỊCH VỤ & CÔNG CỤ,Choose • Train • Customize • Evaluate,,,,,,,,,,,,,
62 mục • 16 cột,Định nghĩa EN/VI + chi tiết,Task 2.1–2.3 • Mới: 2.3,,,,,,,,,,,,,
Keyword cần nhớ: cột B,Lợi ích / ví dụ / điều kiện,Analyze / Evaluate: +8 mục • mở rộng 5,,,,,,,,,,,,,
Đối chiếu: 15/09/2026,Nguồn: O • Có ghi phạm vi,Đã tổng hợp bốn module D2 theo nguồn đã mở.,,,,,,,,,,,,,
Key / Dịch vụ hoặc công cụ,Keyword cần nhớ,Definition (EN),Định nghĩa (VI),Benefits / Lợi ích chi tiết,Cơ chế / Quy trình,Use cases / Khi nào dùng,Ví dụ minh họa,Phân biệt / Điều kiện / Lưu ý,Loại,Domain,Task,Nhóm chủ đề,Phạm vi nguồn,Nguồn tham khảo,Ngày đối chiếu
SageMaker automatic model tuning (AMT),"• MANAGED HPO
• OBJECTIVE + SEARCH SPACE
• MULTIPLE TRAINING TRIALS","SageMaker Automatic Model Tuning (AMT) manages a search over training hyperparameters by launching and comparing training trials using a chosen objective metric. Users define search ranges, optimization direction, strategy and resource limits, and the service selects configurations according to the supported search method. It automates trial orchestration rather than choosing the business objective, ensuring valid data splits or guaranteeing that the best validation trial generalizes.","SageMaker Automatic Model Tuning (AMT) quản lý tìm kiếm hyperparameter bằng cách khởi chạy, so sánh các training trial theo objective metric được chọn. Người dùng định nghĩa khoảng tìm kiếm, hướng tối ưu, chiến lược và giới hạn tài nguyên; dịch vụ chọn cấu hình theo phương pháp tìm kiếm được hỗ trợ. AMT tự động điều phối trial, không tự chọn mục tiêu nghiệp vụ, bảo đảm chia dữ liệu đúng hay bảo đảm trial tốt nhất trên validation sẽ khái quát hóa tốt.","Giảm việc khởi chạy/so sánh trials thủ công; hỗ trợ Grid, Random, Bayesian và Hyperband. Có cấu hình budget/concurrency và cơ chế dừng trial kém khi phù hợp để tiết kiệm compute.",Chọn algorithm/estimator hoặc cấu hình tương ứng → ranges + objective name/direction → strategy + resource limits → launch tuning → theo dõi metrics và chọn best trial. Custom metric cần log/regex đúng.,"Baseline đã có và cần cải thiện configuration; muốn reproducible search thay vì đổi thông số không lưu lại.
Task 2.3: sau khi điều tra convergence, dùng HPO tìm learning rate/batch size và configuration phù hợp; kiểm chứng validation thay vì sửa ngẫu nhiên.","Tune learning rate và batch size của neural network, hoặc hyperparameters XGBoost. Xem D2-P21 đến D2-P24.","Không tự chọn loss/data split đúng, không bảo đảm optimum. AMT Grid chỉ categorical; Bayesian có thể parallel nhưng tradeoff feedback; Hyperband có early stopping nội bộ và yêu cầu TrainingJobEarlyStoppingType=OFF.
AMT không tự chữa vanishing/exploding gradients trong mọi model và không thay phân tích data/code; objective sai vẫn tạo lựa chọn sai dù tuning job chạy đúng.",Managed hyperparameter optimization,Domain 2,2.2,Hyperparameter tuning,Skill Builder,"https://skillbuilder.aws/learn/2A2SRWD97S/aws-ml-engineer-associate--train-models/PN3Z4R1QTJ
https://docs.aws.amazon.com/sagemaker/latest/dg/automatic-model-tuning-how-it-works.html
https://docs.aws.amazon.com/sagemaker/latest/dg/automatic-model-tuning-early-stopping.html
https://docs.aws.amazon.com/sagemaker/latest/dg/automatic-model-tuning-define-metrics-variables.html
https://docs.aws.amazon.com/sagemaker/latest/dg/automatic-model-tuning-ex-tuning-job.html
https://skillbuilder.aws/learn/Q6PN4F1E2G/aws-ml-engineer-associate--analyze-and-evaluate-performance/CHBEW6A7NZ",15/09/2026
AWS Trainium,"• CUSTOM ML ACCELERATOR
• DEEP LEARNING TRAINING
• NEURON SOFTWARE STACK","AWS Trainium is AWS-designed acceleration hardware for supported deep learning workloads, with instance configurations used for large-scale training and other compatible execution paths. It works with the Neuron software stack rather than assuming unmodified compatibility with every GPU-oriented program. Teams select supported hardware and framework configurations and measure computation, compilation and communication costs to determine whether it improves their workload's overall efficiency.","AWS Trainium là phần cứng tăng tốc do AWS thiết kế cho workload deep learning được hỗ trợ, với cấu hình instance dùng cho training quy mô lớn và các đường thực thi tương thích khác. Trainium hoạt động cùng software stack Neuron, không mặc định tương thích nguyên trạng với mọi chương trình dành cho GPU. Nhóm chọn phần cứng, framework được hỗ trợ và đo chi phí tính toán, biên dịch, giao tiếp để xác định hiệu quả tổng thể cho workload.",Thêm lựa chọn hiệu năng/chi phí cho deep learning và distributed training; interconnect hỗ trợ phối hợp nhiều accelerator. Cần đánh giá workload trên software stack tương thích để chứng minh lợi ích.,Chọn instance Trainium được dịch vụ/Region hỗ trợ; dùng Neuron-compatible framework/runtime; chuẩn bị hoặc chuyển model và đo compile/training/communication time.,"Large-scale neural network hoặc NLP training khi model/operators, framework và tooling được hỗ trợ; chi phí/thời gian đáp ứng yêu cầu.",So sánh một training job trên GPU với Trainium bằng cùng tiêu chí chất lượng và thời gian hoàn thành; không chỉ so giá/giờ.,"Không hứa luôn nhanh/rẻ hơn mọi GPU hoặc model tự hội tụ tốt hơn nhờ chip. Tên Trainium là phần cứng, Neuron là SDK; kiểm tra support hiện hành, không cố định thế hệ instance.",AWS-designed accelerator,Domain 2,2.2,Training compute,Skill Builder,"https://skillbuilder.aws/learn/2A2SRWD97S/aws-ml-engineer-associate--train-models/PN3Z4R1QTJ
https://aws.amazon.com/ai/machine-learning/neuron/
https://docs.aws.amazon.com/sagemaker/latest/dg/distributed-training-get-started.html",15/09/2026
AWS Neuron SDK,"• TRAINIUM SOFTWARE STACK
• COMPILER + RUNTIME + TOOLS
• FRAMEWORK INTEGRATION","AWS Neuron SDK is a software stack that includes compiler, runtime, framework integrations and tools for executing supported ML workloads on AWS accelerators such as Trainium and Inferentia. It bridges model code and the target hardware through compatible execution or compilation workflows. Developers must validate operator support, versions and performance, because code designed for another accelerator ecosystem may require adaptation rather than running unchanged.","AWS Neuron SDK là software stack gồm compiler, runtime, tích hợp framework và công cụ để thực thi workload ML được hỗ trợ trên accelerator AWS như Trainium, Inferentia. Neuron kết nối mã model với phần cứng đích thông qua workflow thực thi hoặc biên dịch tương thích. Người phát triển phải kiểm tra operator, phiên bản và hiệu năng vì mã thiết kế cho hệ sinh thái accelerator khác có thể cần điều chỉnh thay vì chạy nguyên trạng.","Cung cấp compiler/runtime, tích hợp framework và công cụ tối ưu/phân tích; giúp triển khai model trên phần cứng chuyên dụng thay vì giả định mọi code CUDA có thể chạy nguyên.","Dùng framework integration và container/AMI tương thích, biên dịch hoặc cấu hình model theo workflow, đo hiệu năng và xử lý operator/support constraints.",Khi chọn Trainium và cần hiểu vì sao hardware choice đi kèm thay đổi software compatibility.,Training PyTorch trên Trainium dùng workflow Neuron phù hợp; đối chiếu distributed launcher và phiên bản.,Không phải model/algorithm và không thay SageMaker quản lý job. Chuyển device không bảo đảm zero code changes; support phụ thuộc phiên bản và mô hình.,SDK / compiler and runtime,Domain 2,2.2,Training compute • Bổ sung,Bổ sung Domain 2,"https://aws.amazon.com/ai/machine-learning/neuron/
https://docs.aws.amazon.com/sagemaker/latest/dg/distributed-training-get-started.html",15/09/2026
Amazon ECR — training container images,"• CONTAINER REGISTRY
• FRAMEWORK IMAGE
• PULL BEFORE TRAINING","Amazon ECR is a managed container-image registry that stores the images used as ML training runtimes. SageMaker jobs reference an image URI to obtain the selected framework, libraries and packaged code, with permissions controlling image access. For BYOC, teams build and publish the custom image before creating the training job; model artifacts produced by training are separate assets, commonly stored in S3.","Amazon ECR là registry image container được quản lý, lưu các image dùng làm runtime training ML. Job SageMaker tham chiếu image URI để lấy framework, thư viện và mã đã đóng gói được chọn; quyền truy cập kiểm soát việc lấy image. Với BYOC, nhóm build, publish custom image trước khi tạo training job; model artifact được training tạo ra là tài sản riêng, thường được lưu trong S3.",Cung cấp image URI/version để SageMaker lấy đúng framework/libraries/code; phù hợp chia sẻ runtime nhất quán và quản lý image tùy chỉnh.,Built-in/script mode dùng image phù hợp; BYOC build rồi push image. Training job tham chiếu ECR URI và execution role cần quyền pull tương ứng.,Đọc sơ đồ script mode hoặc triển khai BYOC; phân biệt vị trí image với vị trí dataset và model artifact.,ECR → framework container → training compute; S3 → training data; cuối job → model artifact về S3.,ECR không phải nơi mặc định chứa dataset/model.tar.gz đầu ra. Pin image/version để giảm rủi ro run thay đổi do environment; quyền truy cập image vẫn cần cấu hình.,Container registry — training role,Domain 2,2.2,Training infrastructure,Skill Builder,"https://skillbuilder.aws/learn/2A2SRWD97S/aws-ml-engineer-associate--train-models/PN3Z4R1QTJ
https://docs.aws.amazon.com/sagemaker/latest/dg/your-algorithms-training-algo-running-container.html
https://docs.aws.amazon.com/sagemaker/latest/dg/automatic-model-tuning-ex-tuning-job.html",15/09/2026
XGBoost on SageMaker AI,"• GRADIENT-BOOSTED TREES
• STRUCTURED CLASSIFICATION
• BUILT-IN OR SCRIPT MODE","XGBoost is a gradient-boosted decision-tree implementation available through supported SageMaker algorithm or framework workflows. It builds an ensemble sequentially, with additional trees improving the configured learning objective, and is widely applicable to tabular classification and regression. Users choose the objective, input format, regularization and tuning settings, while hardware and distributed-training support depend on the selected SageMaker mode and XGBoost version.","XGBoost là triển khai cây quyết định gradient boosting, có thể sử dụng qua workflow thuật toán hoặc framework SageMaker được hỗ trợ. Thuật toán xây ensemble tuần tự, bổ sung cây để cải thiện mục tiêu học đã cấu hình, phù hợp nhiều bài toán phân loại và hồi quy dữ liệu bảng. Người dùng chọn objective, định dạng input, regularization và cấu hình tuning; hỗ trợ phần cứng, training phân tán phụ thuộc mode SageMaker và phiên bản XGBoost.","Là ứng viên mạnh cho dữ liệu bảng và có thể dùng built-in để giảm công viết code/container; khi cần code riêng có thể dùng framework/script workflow phù hợp.
Trong module Customize, XGBoost minh họa boosting giảm bias bằng cách thêm cây sửa lỗi tuần tự; có thể kết hợp regularization/tuning để kiểm soát overfit.","Chuẩn bị data/labels và format theo algorithm; chọn objective, hyperparameters và supported compute; train và so validation. Support GPU/distribution phụ thuộc mode/version, không suy chỉ từ tên XGBoost.","Churn prediction, classification hoặc regression trên structured data khi yêu cầu và evaluation phù hợp.","Tình huống bài: retail churn + dữ liệu bảng + least effort → built-in XGBoost, D2-M34.","Built-in là implementation để train với data của bạn, không phải model đã hiểu sẵn khách hàng. Không khẳng định XGBoost luôn tốt nhất hoặc mọi version/mode đều cùng support.
Không áp nguyên xi sơ đồ reweight mẫu kiểu AdaBoost cho XGBoost: đây là gradient boosting, cơ chế tối ưu phụ thuộc objective.",ML algorithm / framework,Domain 2,2.2,Built-in algorithms,Skill Builder,"https://skillbuilder.aws/learn/2A2SRWD97S/aws-ml-engineer-associate--train-models/PN3Z4R1QTJ
https://docs.aws.amazon.com/sagemaker/latest/dg/algos.html
https://docs.aws.amazon.com/sagemaker/latest/dg/cmn-info-instance-types.html
https://skillbuilder.aws/learn/2QQTWU7W75/aws-ml-engineer-associate--customize-and-fine-tune-models/GCXKCRD7RD",15/09/2026
SageMaker distributed data parallelism,"• MODEL REPLICAS
• GRADIENT SYNCHRONIZATION
• LARGE DATASETS","SageMaker distributed data parallelism uses supported libraries and frameworks to train multiple replicas of the same model on different portions of data. Each worker performs forward and backward computation, then coordinates gradients or updates so replicas continue learning one logical model. It increases data-processing throughput when computation and communication are balanced, and requires correct dataset sharding, batch-size interpretation and supported distributed configuration.","Distributed data parallelism của SageMaker sử dụng thư viện, framework được hỗ trợ để training nhiều bản sao cùng model trên các phần dữ liệu khác nhau. Mỗi worker thực hiện forward, backward rồi phối hợp gradient hoặc cập nhật để các replica tiếp tục học một model logic thống nhất. Cách này tăng throughput dữ liệu khi tính toán, giao tiếp cân bằng và đòi hỏi chia dataset đúng, hiểu batch size, cấu hình phân tán tương thích.",Tăng data throughput và tận dụng nhiều GPU; tối ưu communication trong điều kiện được hỗ trợ có thể giảm overhead đồng bộ. Giúp train dataset lớn mà vẫn giữ một logical model.,Chia batch cho workers → mỗi replica forward/backward → đồng bộ gradient như AllReduce → update nhất quán; cấu hình launcher/library và dataset sharding.,Model/training state vừa mỗi device nhưng data volume làm training lâu. D2-P20 phân biệt với model parallelism.,"Ba node, mỗi node tám GPU trong sơ đồ bài, các ranks xử lý batch shards và đồng bộ qua EFA.",Không phải ensemble; không tự làm model replica vừa GPU nếu đã OOM. Phải kiểm tra compatibility của library/framework/instance và benchmark communication overhead.,Distributed training capability,Domain 2,2.2,Distributed training,Skill Builder,"https://skillbuilder.aws/learn/2A2SRWD97S/aws-ml-engineer-associate--train-models/PN3Z4R1QTJ
https://docs.aws.amazon.com/sagemaker/latest/dg/distributed-training.html
https://docs.aws.amazon.com/sagemaker/latest/dg/distributed-training-get-started.html",15/09/2026
SageMaker distributed model parallelism,"• MODEL PARTITIONING
• TENSOR / PIPELINE / SHARDING
• MEMORY LIMIT","SageMaker distributed model parallelism uses supported capabilities to divide model computation or training state across multiple devices. Devices exchange the activations, gradients or state required by the chosen partitioning strategy, allowing models that exceed one device's memory to be trained. It can be combined with data parallelism, but the memory benefit and speed depend on partition balance, scheduling and inter-device communication overhead.","Distributed model parallelism của SageMaker sử dụng khả năng được hỗ trợ để chia phép tính hoặc trạng thái training của model trên nhiều thiết bị. Thiết bị trao đổi activation, gradient hay state cần thiết theo chiến lược phân chia, cho phép training model vượt bộ nhớ một thiết bị. Có thể kết hợp với data parallelism, nhưng lợi ích bộ nhớ và tốc độ phụ thuộc cân bằng phân hoạch, lịch thực thi, overhead giao tiếp giữa thiết bị.",Cho phép huấn luyện model vượt giới hạn một device và kết hợp data parallel khi cần; hữu ích cho large networks. Lợi ích phụ thuộc phân hoạch và lịch chạy.,"Chọn strategy phù hợp library/version, chia model/state, truyền activations/gradients và phối hợp backward/update; kiểm tra memory từng thiết bị và thời gian giao tiếp.",Model không vừa một GPU kể cả batch rất nhỏ; hoặc cả model/data đều lớn và cần hybrid.,Một model nhiều tỷ weights được chia giữa các devices. D2-P20.,Không bảo đảm speedup tuyến tính; pipeline bubbles và partition lệch có thể làm GPU chờ. Không đồng nhất model parallelism với tăng max_parallel_jobs trong HPO.,Distributed training capability,Domain 2,2.2,Distributed training,Skill Builder,"https://skillbuilder.aws/learn/2A2SRWD97S/aws-ml-engineer-associate--train-models/PN3Z4R1QTJ
https://docs.aws.amazon.com/sagemaker/latest/dg/distributed-training.html
https://docs.aws.amazon.com/sagemaker/latest/dg/distributed-training-get-started.html",15/09/2026
Elastic Fabric Adapter (EFA) — training communication,"• HIGH-PERFORMANCE INTERCONNECT
• ALLREDUCE
• MULTI-NODE TRAINING","Elastic Fabric Adapter (EFA) is an AWS networking capability that supports high-performance inter-instance communication for compatible distributed applications and libraries. In distributed training, it can reduce communication bottlenecks such as gradient synchronization across nodes when the instance and software stack support it. It complements the parallel-training strategy and data pipeline rather than making every training workload faster without configuration or measurement.","Elastic Fabric Adapter (EFA) là khả năng mạng của AWS hỗ trợ giao tiếp hiệu năng cao giữa các instance cho ứng dụng, thư viện phân tán tương thích. Trong training phân tán, EFA có thể giảm điểm nghẽn giao tiếp như đồng bộ gradient giữa node khi instance và software stack hỗ trợ. EFA bổ trợ chiến lược training song song, pipeline dữ liệu, không tự làm mọi workload nhanh hơn nếu thiếu cấu hình và đo lường.",Hỗ trợ giảm bottleneck giao tiếp giữa node trong distributed training; đặc biệt liên quan gradient synchronization của nhiều GPU như sơ đồ bài.,"Dùng instance/network/library tương thích; workers giao tiếp qua stack hỗ trợ EFA. Kết hợp với chiến lược parallel và cấp dữ liệu phù hợp, rồi đo communication time.",Multi-node training mà đồng bộ gradient hoặc trao đổi dữ liệu giữa devices là giới hạn.,"Sơ đồ data parallel: 24 GPU workers, AllReduce qua EFA, output model vào S3.","EFA không thay GPU, loss/optimizer hoặc data parallel code. Có network nhanh không sửa data loader chậm hay model quá lớn trên từng replica.",Networking capability — training role,Domain 2,2.2,Training infrastructure,Skill Builder,"https://skillbuilder.aws/learn/2A2SRWD97S/aws-ml-engineer-associate--train-models/PN3Z4R1QTJ
https://docs.aws.amazon.com/sagemaker/latest/dg/distributed-training.html",15/09/2026
EC2 instance families — training selection map,"• T: BURSTABLE
• M: BALANCED
• R: MEMORY
• C: COMPUTE
• P/G: GPU","EC2 instance families group computing configurations by broad CPU, memory, accelerator and networking characteristics. The course uses t for burstable or short tasks, m for balance, r for memory, c for compute, and p or g for GPU-oriented workloads. This grouping helps shortlist training hardware, but users must verify support in the chosen SageMaker job type and benchmark a specific instance size against cost and bottlenecks.","Các họ instance EC2 nhóm cấu hình tính toán theo đặc tính CPU, bộ nhớ, accelerator và mạng. Bài học dùng t cho tác vụ burstable hoặc ngắn, m cho cân bằng, r cho bộ nhớ, c cho tính toán, p hoặc g cho workload thiên về GPU. Cách nhóm giúp thu hẹp lựa chọn phần cứng training, nhưng phải kiểm tra hỗ trợ trong loại job SageMaker được chọn và benchmark kích thước instance cụ thể theo chi phí, điểm nghẽn.","t: notebook/short jobs trong ví dụ bài; m: cân bằng CPU–RAM; r: ưu tiên memory; c: compute; p: GPU training/inference nặng; g: accelerated inference và training nhỏ hơn theo định hướng bài. Chọn family trước, right-size sau.",Xác định bottleneck → shortlist family → kiểm tra availability ở SageMaker training/notebook tương ứng → benchmark size cụ thể và tổng cost/job.,"Khi đề nhấn mạnh memory-intensive, compute-intensive, deep learning hoặc chỉ notebook nhẹ.",Memory-bound classical ML → xem r; CPU-bound → c; deep network song song ma trận → GPU p/g phù hợp.,"Bảng là định hướng, không khẳng định mọi t/m/r/c/p/g đều khả dụng trong mọi SageMaker mode/Region. Không dùng instance notebook nhỏ làm lựa chọn mặc định cho job training dài; accelerator mới cần kiểm tra catalog.",Compute family comparison,Domain 2,2.2,Training compute,Skill Builder,"https://skillbuilder.aws/learn/2A2SRWD97S/aws-ml-engineer-associate--train-models/PN3Z4R1QTJ
https://docs.aws.amazon.com/sagemaker/latest/dg/cmn-info-instance-types.html",15/09/2026
SageMaker training data inputs — S3 / EFS / FSx for Lustre,"• S3 INPUT MODES
• FILE-SYSTEM MOUNTS
• TRAINING DATA ACCESS","SageMaker training data inputs are the configured channels through which a training job accesses supported data sources such as S3, EFS or FSx for Lustre. S3 input modes such as File, Pipe or FastFile provide different loading and access behavior, while supported file systems are mounted with appropriate networking. The input choice must match the algorithm, access pattern and throughput needs to prevent storage from starving training compute.","Đầu vào dữ liệu training SageMaker là các channel được cấu hình để job truy cập nguồn được hỗ trợ như S3, EFS hoặc FSx for Lustre. Input mode S3 như File, Pipe, FastFile có cách nạp và truy cập khác nhau, còn filesystem được hỗ trợ được mount với cấu hình mạng phù hợp. Lựa chọn input phải khớp thuật toán, mẫu truy cập và nhu cầu throughput để tránh storage làm tài nguyên training phải chờ dữ liệu.",S3 có File/Pipe/FastFile theo access pattern. EFS/FSx cho phép mount dữ liệu có sẵn và tránh xem mọi lần train như tải toàn bộ S3 trước; FSx for Lustre phù hợp nhu cầu file throughput cao khi cấu hình đúng.,Chọn source và channel; dataset cùng Region với job; S3 chọn mode phù hợp. EFS/FSx file sources cần networking/VPC và được mount theo hợp đồng training.,Muốn giảm I/O wait hoặc tái sử dụng dataset trong file system; không phải đổi storage chỉ vì dataset lớn.,"D2-P19 chọn giữa tải local, FIFO stream, file interface stream hoặc mount source đang có.","Không đồng nhất S3 File với EFS/FSx mount. Access permissions, VPC/subnet và algorithm input support phải đúng; lợi ích phụ thuộc access pattern thực tế.",Training data integration,Domain 2,2.2,Training inputs,Skill Builder,"https://skillbuilder.aws/learn/2A2SRWD97S/aws-ml-engineer-associate--train-models/PN3Z4R1QTJ
https://docs.aws.amazon.com/sagemaker/latest/dg/model-access-training-data.html
https://docs.aws.amazon.com/sagemaker/latest/dg/your-algorithms-training-algo-running-container.html",15/09/2026
SageMaker AI DeepAR,"• RELATED TIME SERIES
• PROBABILISTIC FORECASTS
• GLOBAL LEARNING","SageMaker DeepAR is a supervised forecasting algorithm that learns an autoregressive recurrent model across multiple related time series. It uses shared patterns across series to produce probabilistic forecasts for a configured prediction horizon, rather than fitting each series completely independently. Training and evaluation must respect temporal ordering, and any dynamic features supplied for future periods must actually be available at prediction time.","SageMaker DeepAR là thuật toán dự báo có giám sát, học model recurrent tự hồi quy trên nhiều chuỗi thời gian liên quan. Thuật toán dùng mẫu chung giữa các chuỗi để tạo dự báo xác suất cho khoảng dự báo đã cấu hình, thay vì fit từng chuỗi hoàn toàn độc lập. Training và evaluation phải giữ đúng thứ tự thời gian; mọi dynamic feature cung cấp cho giai đoạn tương lai phải thực sự có sẵn khi dự đoán.","Học chung patterns giữa nhiều series thay vì chỉ fit từng chuỗi độc lập.
Tạo phân phối dự báo, hữu ích để cân nhắc bất định khi dự trữ hàng.
Tích hợp training và AMT của SageMaker.","Chuẩn bị target series và features theo schema → chọn context/prediction windows, compute → train → đánh giá dự báo theo thời gian. Kiểm tra dữ liệu động dùng ở horizon có thực sự sẵn khi inference.","Demand forecasting, nhiều sản phẩm/cửa hàng hoặc chuỗi liên quan cùng loại.","Walkthrough: dự báo doanh số hàng tuần cho 10.000 sản phẩm tại 200 cửa hàng; thử Bayesian AMT tối đa 50 jobs, 5 đồng thời.","AWS docs hỗ trợ train CPU/GPU, một/nhiều máy; bắt đầu nhỏ và scale theo nhu cầu thực đo. Không suy “dataset lớn = bắt buộc GPU”. DeepAR inference hỗ trợ CPU. 50/5 là cấu hình minh họa, không mặc định.",SageMaker built-in algorithm,Domain 2,2.2,Forecasting walkthrough,Skill Builder,"https://skillbuilder.aws/learn/2QQTWU7W75/aws-ml-engineer-associate--customize-and-fine-tune-models/GCXKCRD7RD
https://docs.aws.amazon.com/sagemaker/latest/dg/deepar.html",15/09/2026
CatBoost,"• GRADIENT BOOSTING
• DECISION TREES
• CATEGORICAL FEATURES","CatBoost is a decision-tree gradient-boosting library with support for categorical features and classification or regression tasks. It trains an ensemble by sequentially adding trees to improve the objective, making it a useful candidate for tabular data with categorical variables. Users configure feature types, model settings and validation, and must package a compatible runtime when using it in managed training or deployment environments.","CatBoost là thư viện gradient boosting dựa trên cây quyết định, hỗ trợ feature phân loại và bài toán classification hoặc regression. Thư viện training ensemble bằng cách tuần tự bổ sung cây để cải thiện objective, tạo lựa chọn phù hợp cho dữ liệu bảng có biến categorical. Người dùng cấu hình loại feature, tham số model, validation và phải đóng gói runtime tương thích khi sử dụng trong môi trường training hoặc deployment được quản lý.","Ứng viên mạnh cho tabular data có categorical variables.
Kết hợp nhiều cây tuần tự để học phần lỗi còn lại.
Có CPU/GPU training theo môi trường và cấu hình được hỗ trợ.","Chọn CatBoostClassifier/Regressor theo task, khai báo categorical features đúng → fit/tune theo validation → đóng gói runtime phù hợp khi chạy SageMaker.",Classification/regression với dữ liệu bảng; một framework ensemble được bài nêu tên.,"Dự đoán nhu cầu hoặc churn từ loại sản phẩm, cửa hàng và số liệu hành vi; so với XGBoost/random forest.","CatBoost là thư viện, không tự là SageMaker built-in image cùng tên. Muốn chạy SageMaker phải bảo đảm dependency/container tương thích. Không bảo đảm tốt nhất cho mọi tabular dataset.",Third-party ML library,Domain 2,2.2,Ensemble frameworks,Skill Builder,"https://skillbuilder.aws/learn/2QQTWU7W75/aws-ml-engineer-associate--customize-and-fine-tune-models/GCXKCRD7RD
https://catboost.ai/docs/en/",15/09/2026
scikit-learn Random Forest,"• BOOTSTRAP TREES
• RANDOM FEATURE SUBSETS
• REDUCE VARIANCE","A scikit-learn random forest is an ensemble estimator that combines many randomized decision trees for classification or regression. In a typical configuration, trees learn from bootstrap samples and consider random feature subsets at splits; their predictions are aggregated by voting or averaging. This reduces variance relative to an individual unstable tree, while depth, leaf size, feature sampling and other settings still determine generalization.","Random forest của scikit-learn là estimator ensemble kết hợp nhiều cây quyết định có yếu tố ngẫu nhiên để phân loại hoặc hồi quy. Trong cấu hình thông thường, cây học từ bootstrap sample và xét tập feature ngẫu nhiên tại mỗi split; dự đoán được tổng hợp bằng bỏ phiếu hoặc lấy trung bình. Cơ chế giảm variance so với một cây riêng dễ biến động, nhưng depth, kích thước leaf, cách lấy feature và tham số khác vẫn quyết định khả năng khái quát hóa.","Averaging các cây giúp giảm variance so với cây riêng dễ overfit.
Ngẫu nhiên features giúp đa dạng các cây.
Dùng được cho classification và regression.","Tạo bootstrap samples trong cấu hình thông thường → train trees với tập features ngẫu nhiên tại splits → aggregate; tune số cây, depth, leaf size, features và đối chiếu validation.",Base tree thiếu ổn định; muốn baseline ensemble cho tabular tasks.,RandomForestRegressor dự đoán sales; bài dùng random forest làm ví dụ bagging.,Cơ chế classification cụ thể của scikit-learn gộp class probabilities; “majority vote” trong bài là cách nhớ tổng quát. Không bảo đảm không overfit; không dùng cả test để tune forest.,Third-party ML estimator,Domain 2,2.2,Bagging implementation,Skill Builder,"https://skillbuilder.aws/learn/2QQTWU7W75/aws-ml-engineer-associate--customize-and-fine-tune-models/GCXKCRD7RD
https://scikit-learn.org/stable/modules/ensemble.html",15/09/2026
scikit-learn stacking estimators,"• LEVEL-0 + FINAL_ESTIMATOR
• OUT-OF-FOLD FEATURES
• LEARNED BLEND","Scikit-learn stacking estimators train a final predictor using outputs from multiple base estimators as meta-features. Supported cross-validation behavior creates predictions for fitting the final estimator without simply reusing each base model's in-sample predictions. Stacking can combine complementary error patterns, but preprocessing, fold design and an independent evaluation set must be handled correctly to avoid leakage and overly optimistic performance estimates.","Stacking estimator của scikit-learn training một bộ dự đoán cuối bằng đầu ra của nhiều base estimator làm meta-feature. Cơ chế cross-validation được hỗ trợ tạo dự đoán để fit final estimator mà không chỉ dùng lại dự đoán trên dữ liệu mỗi base model đã học. Stacking có thể kết hợp những mẫu lỗi bổ sung nhau, nhưng preprocessing, thiết kế fold và tập đánh giá độc lập phải được xử lý đúng để tránh leakage, ước lượng hiệu năng quá lạc quan.","Ghép các thuật toán có lỗi bổ sung nhau.
Hỗ trợ tạo dự đoán cross-validation để train final estimator.
Tránh tự viết toàn bộ luồng meta-features nếu cấu hình phù hợp.","Chọn estimators, final_estimator và CV phù hợp → fit → đánh giá độc lập. Giữ preprocessing bên trong pipeline/folds; kiểm tra class/probability alignment.",Nhiều model types tốt ở những vùng khác nhau của cùng bài toán.,"Ba level-0 models tạo meta-features, logistic regression làm level-1 cho classification.",CV train final estimator không thay thế bộ test cuối. Cẩn trọng prefit: nếu base và meta cùng fit trên một tập thì overfit rất dễ xảy ra. Time/group data cần split phù hợp.,Third-party ML estimator,Domain 2,2.2,Stacking implementation,Skill Builder,"https://skillbuilder.aws/learn/2QQTWU7W75/aws-ml-engineer-associate--customize-and-fine-tune-models/GCXKCRD7RD
https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.StackingClassifier.html",15/09/2026
